vr_id,vendor_id,vr_productcode,vr_minqty,vr_maxqty,vr_price,vr_partno,vr_deactivate_until,lastmodified,lastmodby
"1076","100","99080711","1","",".0100","50011324","","2025-04-10 11:47:00","1"
"1077","100","99080803","1","",".0100","99080803","","2025-04-10 11:47:00","1"
"1078","100","99090011","1","",".0100","99090011","","2025-04-10 11:47:00","1"
"1079","100","99202025","1","",".0100","99202025","","2025-04-10 11:47:00","1"
"2844","55","9999-0752","1","","12.5300","9-99-0756 -152","","2025-04-10 11:47:00","1"
"2071","100","9999-4752","1","",".0100","9999-4752","","2025-04-10 11:47:00","1"
"1126","22","A-00029","1","",".0100","A-00029","","2025-04-10 11:47:00","1"
"1089","22","A-00057","1","",".0100","A-00057","","2025-04-10 11:47:00","1"
"2774","22","A-00060","1","",".0100","A-00060","","2025-04-10 11:47:00","1"
"3599","55","A-00063","1","","83.3000","219053-01 -#878C","","2025-04-10 11:47:00","1"
"1119","22","A-00069","1","",".0100","A-00069","","2025-04-10 11:47:00","1"
"3039","22","A-00091","1","","821.0000","A-00091","","2025-04-10 11:47:00","1"
"1092","22","A-00162","1","",".0100","A-00162","","2025-04-10 11:47:00","1"
"1094","22","A-00163","1","",".0100","A-00163","","2025-04-10 11:47:00","1"
"1123","22","A-00181","1","",".0100","A-00181","","2025-04-10 11:47:00","1"
"1124","22","A-00183","1","",".0100","A-00183","","2025-04-10 11:47:00","1"
"1102","22","A-00299","1","",".0100","A-00299","","2025-04-10 11:47:00","1"
"2109","22","A-00347","1","",".0100","A-00347","","2025-04-10 11:47:00","1"
"1586","22","A-00387","1","",".0100","A-00387","","2025-04-10 11:47:00","1"
"2786","11","A-00389","1","","5.0000","A-00389 -#AASNB","","2025-04-10 11:47:00","1"
"1097","22","A-00416","1","",".0100","A-00416","","2025-04-10 11:47:00","1"
"3650","55","A-00417","1","","34.0000","210926 -#87","","2025-04-10 11:47:00","1"
"3657","22","A-00419","1","",".0100","A-00419","","2025-04-10 11:47:00","1"
