Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-00957,"LABEL,LOCK,ELECTRIC,FAIL SECURE",EA,4.01,2.01,,,,14-14576
M-00958,"BRKT, STOP, TELE",EA,13.5,6.75,,,,14-10577
M-00960,"PAD, WEAR",EA,22.0,11.0,,,,14-14034
M-00961,"HUB, ROLLER, ANTI-RISE",EA,25.0,12.5,,,,14-14036
M-00962,"ROLLER, ANTI-RISE",EA,34.0,17.0,,,,14-14037
M-00963,"BAR,RND.,STEEL,1/2 DIA.,DRILL ROD",IN,4.15,2.08,,,,14-5994
M-00965,"TUBE,STEEL,RND.,1/2 OD X .260 ID",IN,1.47,0.74,,,,14-3477
M-00966,"SPACER, LOCK MOUNT, ALL GLASS",EA,44.0,22.0,,,,14-11433
M-00967,"BLOCK,PANEL",EA,32.0,16.0,,,,14-9986
M-00968,"BAR,SQUARE,UHMW,1-1/2 x 1-1/2",IN,2.65,1.33,,,,14-5973
M-00969,"PLATE, COVER, FIXED SIDELITE",EA,25.0,12.5,,,,14-14053
M-00970,"SPACER, FS BTM BRKT, ALL GLASS",EA,16.0,8.0,,,,14-9973
M-00971,"BAR,RECT.,STEEL,1/8 X 1,1018",IN,1.47,0.74,,,,24-0790
M-00972,"BRACKET, JAMB TUBE, FS",EA,20.0,10.0,,,,14-14056
M-00973,"INTERLOCK, FEMALE",EA,106.0,53.0,,,,24-14043
M-00974,"BLOCK,FOAM",EA,8.2,4.1,,,,14-9358
M-00975,"PIVOT, FLOOR, SWING PANEL, HURRICANE",EA,84.0,42.0,,,,24-14039
M-00976,"RETAINER, ECCENTRIC",EA,20.0,10.0,,,,14-14041
M-00977,"BAR,RECT.,DELRIN,3/8 X 5/8",IN,3.7,1.85,,,,14-5406
M-00978,"SPACER, 2100 TELE",EA,23.0,11.5,,,,14-10766
M-00979,"GUIDE BLOCK,4"" & 6-1/2"" BOTTOM RAIL",EA,13.4,6.7,,,,14-12064
M-00980,"BRKT, BTM GUIDE LH",EA,18.0,9.0,,,,14-10720
M-00982,"BRKT, BTM GUIDE RH",EA,18.0,9.0,,,,14-10767
M-00983,"INTERLOCK, MALE",EA,91.0,45.5,,,,14-14044
