Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10LIGHTC-YA,EZ-LIGHT CL50 Yellow Audible Alarm Column Light W/PNP Inpts,EA,262.92,179.44,,,,169.28
10LIGHTD-RG,"EZ-LIGHT Indicator Flat Mnt PC T=RED, B=GREEN, Field Wired 15-30VDC",EA,392.14,266.99,,,,251.88
10LIGHTS-G,"EZ-LIGHT Indicator Flat or DIN Mount PC, Green, Field Wired 15-30VDC",EA,226.97,154.3,,,,145.57
10LIGHTS-R,"10LIGHTS-R EZ-LIGHT Indicator Flat or DIN Mount PC, Red, Field Wired 15-30VDC",EA,226.97,154.28,,,,145.55
10LIGHT-TBASE,"TL70 Base Housing W/ 2m, 8Wire Integral Cable, Includes Cap",EA,106.74,72.82,,,,68.69
10LIGHT-TG,"TL70 Segments Housing, Green",EA,161.8,110.09,,,,103.86
10LIGHT-TR,"TL70 Segments Housing, Red",EA,161.8,110.09,,,,103.86
10LIGHT-TW,"10LIGHT-TW -- TL70 Segments Housing, White SG-TL70-W",EA,161.8,110.09,,,,103.86
10LIGHT-TY,"10LIGHT-TY TL70 Segments Housing, Yellow SGTL70Y",EA,161.8,98.82,,,,93.23
10LO21,"Module, LO21 Lock-out Relay",EA,106.25,52.34,,,,49.38
10LO21B,"Module,LO21 BSM",EA,144.45,71.17,,,,67.14
10LO21K,"Module, LO21 for Keane Monroe",EA,144.45,71.17,,,,67.14
10LO21P,"Module,LO21P, PARALLAX",EA,146.45,72.23,,,,68.14
10LO21S,"Module, LO21 Lock-out Relay, Stanley",EA,144.45,71.17,,,,67.14
10LO21U,"Module,LO21U, Universal",EA,144.45,71.17,,,,67.14
10LPR36-300,"36"""" all-active push-plate, 300mhz wireless",EA,776.52,362.16,,,,341.66
10LPR36-433,"36"""" all-active push-plate, 433mhz wireless",EA,759.78,341.32,,,,322.0
10LPR36-900,"36"" ALL-ACTIVE PUSH-PLATE 900mhz T&L",EA,774.14,342.38,,,,323.0
10LPR36HW,"36"""" all-active push-plate, HW Hard Wired",EA,717.58,303.33,,,,286.16
10LPR36L-300,"36"""" all-active push-plate LOGO ONLY 300mhz wireless",EA,728.52,336.72,,,,317.66
10LPR36L-433,"36"""" LPR, Logo only, wireless 433 wireless trx",EA,759.78,341.32,,,,322.0
10LPR36L-900,"36"" ALL-ACTIVE PUSH-PLATE 900mhz LOGO ONLY",EA,774.14,342.38,,,,323.0
10LPR36LHW,"36"""" LPR, Logo only, HW Hard Wired",EA,717.58,303.33,,,,286.16
10LPRCAPKIT,Endcaps for LPR,EA,36.58,17.07,,,,16.1
10LZBR12SUL,"10LZBR12SUL, L & Z BRACKET KIT MAGLOCK1UL, (With Jagged)",EA,90.02,50.15,,,,47.31
10LZBR6SUL,"10LZBR6SUL, L & Z BRACKET KIT MAGLOCK3UL (With Jagged)",EA,72.29,44.22,,,,41.71
10LZBRGATE1200,"L & Z Bracket Kit, Gatelock For 1200 lbs,Includes Hardware",EA,92.27,51.59,,,,48.67
10LZBRMAG1UL - OBSOLETE,"L & Z bracket kit, Maglock1UL for 1200lbs, includes hardware",EA,82.02,45.91,,,,43.31
