Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Addison Price,Door Controls Price,Best Source
4-11-0471,Sway Guide Ass'y. - R.H. (Parts Orders),EACH,408.0,277.13,,,,130.05,221.15,130.05
4-11-1031,"Pin, Sidelite Pivot (Bottom)",EACH,35.0,23.77,,,,26.35,32.2,23.77375
4-11-1052,"Plate, Lock Strike",EACH,22.0,14.94,,,,,,14.9435
4-11-1078,"Stud, Bottom Guide Roller",EACH,34.0,23.09,,,,,31.28,23.0945
4-11-1082,"Plate, Backer",EACH,18.0,12.23,,,,,16.56,12.2265
4-11-1085,"Angle, Sidelite Pivot (Bottom)",EACH,21.0,14.26,,,,,48.32,14.264249999999999
4-11-1086,"Angle, Sidelite Pivot (Top)",EACH,73.0,49.59,,,,,67.16,49.58525
4-11-4093,"Bracket, Alarm Contact Switch",EACH,11.0,7.47,,,,,,7.47175
4-11-4095-DB,Interlock (Mach),EACH,11.0,7.47,,,,,,7.47175
4-11-4096,"Block, Shear (Machined) - SB1",EACH,10.0,6.79,,,,,,6.7924999999999995
4-11-4097,"Block, Shear (Machined) - SB2",EACH,12.0,8.15,,,,,,8.151
4-11-4098,"Block, Shear (Machined) - SB3",EACH,12.0,8.15,,,,,,8.151
4-11-4303,"Bracket, Top Pivot (PP/SA ACCESS PANEL)",EACH,52.0,35.32,,,,,,35.321000000000005
4-12-0470,Sway Guide Ass'y. - L.H. Tele (Parts Orders),EACH,405.0,275.1,,,,,,275.09625
4-12-0471,Sway Guide Ass'y. - R.H. Tele (Parts Orders),EACH,405.0,275.1,,,,,232.88,232.88
4-19-0025,Transfer Pivot Ass'y. Trackless ICU,EACH,239.0,162.34,,,,,219.88,162.34074999999999
4-19-0026,Bottom Guide Ass'y. - LH Trackless ICU,EACH,358.0,243.17,,,,228.65,329.36,228.65
4-19-0027,Bottom Guide Ass'y. - RH Trackless ICU,EACH,358.0,243.17,,,,228.65,329.36,228.65
4-19-1007,"Pin, Sidelite Pivot (Bottom) Trackless ICU/CCU",EACH,49.0,33.28,,,,,45.08,33.28325
4-19-1015,"Stop Link, Sidelite (SLW < 40"")",EACH,50.0,33.96,,,,,,33.9625
4-19-1016,"Stop Link, Sidelite (FOR SLW > 40"")",EACH,50.0,33.96,,,,,43.15,33.9625
4-19-1017,"Stop Track, Sidelite (SLW < 40"")",EACH,65.0,44.15,,,,,,44.15125
4-19-1018,"Stop Track, Sidelite (SLW > 40"")",EACH,81.0,55.02,,,,,74.52,55.01924999999999
4-19-1019,"Block, Stop",EACH,6.0,4.08,,,,,5.52,4.0755
4-19-1020,"Angle, Sidelite Pivot (Bottom) Trackless ICU",EACH,79.0,53.66,,,,,,53.66075
4-19-4062,"Bracket, B.Guide-LH-T/less ICU",EACH,43.0,29.21,,,,,,29.207749999999997
4-19-4063,"Bracket, B. Guide-RH T/less ICU",EACH,43.0,29.21,,,,,,29.207749999999997
4-19-7001,"Stud, Transfer Pivot ICU Trackless",EACH,77.0,52.3,,,,,,52.30225
4-19-9001,"Block, Bottom Door Pivot Trackless ICU",EACH,135.0,91.7,,,,113.9,,91.69874999999999
4-20-1090,"Stud, Slide Arm",EACH,20.0,13.58,,,,,17.11,13.584999999999999
4-24-9003,Slide Block,EACH,70.0,47.55,,,,48.45,,47.5475
4-40-0028-HD,"Bottom Pivot Assembly, HD 1/2"" x 4 1/2"" Threshold",EACH,504.0,342.34,,,,,463.68,342.342
4-40-0029-HD,"Bottom Pivot, Assembly, HD 1/2"" x 7"" Threshold",EACH,516.0,350.49,,,,,474.72,350.493
4-40-0310-CL,Pull Handle Ass'y.,EACH,99.0,67.25,,,,,,67.24575
4-40-0310-DB,Pull Handle Ass'y.,EACH,99.0,67.25,,,,,,67.24575
4-40-1002,"Plate,Backer, Door Interlock Hurricane Door",EACH,17.0,11.55,,,,,,11.54725
4-40-4099,"Spacer, Arm DO NOT REORDER",EACH,122.0,82.87,,,,,112.24,82.8685
4-45-0013,Terminal Block Ass'y.,EACH,29.0,19.7,,,,,,19.69825
4-45-0015,Bottom Pivot Ass'y.,EACH,500.0,339.62,,,,332.35,,332.35
4-45-0016,Guide Roller Ass'y.,EACH,203.0,137.89,,,,134.3,186.76,134.3
4-45-0022-BL,"Hinge Pivot Ass'y.-Config ""A"" Parts Orders Only",EACH,342.0,232.3,,,,227.8,,227.8
4-45-0023-BL,"Hinge Pivot Ass'y.-Config. ""B"" Parts Orders Only",EACH,342.0,232.3,,,,227.8,,227.8
4-45-0100,"Electric Lock Ass'y., In-Panel Fold Lock",EACH,546.0,370.87,,,,,,370.8705
4-45-0501,"Harness, Elec. lock Sequencer",EACH,46.0,31.25,,,,,,31.2455
4-45-0801,"Kit, Sensor Package, BEA 1 S4500 Folding Door",EACH,2550.0,1732.09,,,,,,1732.0874999999999
4-45-0803,"Kit, Sensor Package, Optex 1 S4500 Folding Door",EACH,2627.0,1784.39,,,,,,1784.3897499999998
4-45-0808,"Kit, In-Panel Electric Lock S4500 Folding Door",EACH,1169.0,794.04,,,,,,794.04325
4-45-0809,"Kit,Panel Lock|Breakout 4500 Autolock Folding Door",EACH,5620.0,3817.38,,,,,,3817.3849999999998
4-45-1001,"Bracket, Header-To-Jamb",EACH,52.0,35.32,,,,,,35.321000000000005
4-45-1002,"End Cap, Header",EACH,59.0,40.08,,,,,,40.07575
