Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,A&M Part #
C00368.001A,ALUM ADAPTER SURFACE STOPS - CLEAR 288 IN,LF,14.2,9.94,,,,
C00368.001B,ALUM ADAPTER SURFACE STOPS BRONZE 288 IN,LF,15.8,11.06,,,,
C00369.00RA,ALUM BEAD SLOPE GLAZING - CLEAR 276 IN,LF,4.8,3.36,,,,
C00369.00RB,"STOP GLASS SLOPE DARK BRONZE ANODIZE FOR 1/4"" GLASS BRONZE 276 IN",LF,6.3,4.41,,,,
C00369.VNRA,STOP SLOPE ASSY CLR WITH VINYL STOP SLOPE CLR,LF,11.1,7.77,,,,
C00369.VNRB,STOP SLOPE ASSY BZ WITH VINYL STOP SLOPE BZ,LF,11.2,7.84,,,,
C00370.001A,ALUM GLASS STOP 1/4 SURFACE CLEAR 288 IN,LF,4.8,3.36,,,,
C00370.001B,ALUM GLASS STOP 1/4 SURF BRONZE 288 IN,LF,6.3,4.41,,,,
C00370.VN1A,STOP ASSY .25 CLR WITH VINYL STOP GLASS CLR,LF,6.3,4.41,,,,
C00370.VN1B,STOP ASSY .25 BRZ WITH VINYL STOP GLASS BRZ,LF,7.9,5.53,,,,
C00371.000R,VINYL W/S FIXED PNL-JAMB,LF,14.3,10.01,,,,
C00372.000R,VINYL W/S NOSING,LF,4.8,3.36,,,,
C00373.0000,VINYL W/S MAN SO TO JAMB,LF,4.8,3.36,,,,
C00379.001A,ALUM EXTRU-GLASS STOP 3/4 IN - CLEAR 288 IN,LF,6.3,4.41,,,,
C00379.001B,"ALUM EXTRU-GLASS STOP 3/4"" BRONZE 288 IN",LF,7.9,5.53,,,,
C00379.VN1A,STOP ASSY 0.75 CLR WITH VINYL STOP GLASS 0.75 CLR,LF,7.9,5.53,,,,
C00379.VN1B,STOP ASSY 0.75 BZ WITH VINYL STOP GLASS 0.75 BZ,LF,7.9,5.53,,,,
C00379.VN2A,"STOP ASSY 1/8"" CLR WITH VINYL STOP GLASS 1/8""",LF,9.6,6.72,,,,
C00379.VN2B,"STOP ASSY 1/8"" BZ WITH VINYL STOP GLASS 1/8""",LF,11.2,7.84,,,,
C00380.001B,ALUM TRACK FOR C-265 - DARK BRONZE 288 IN,LF,10.8,7.56,,,,
C00381.0000,ALUM THRESHOLD TH4 MILL 216 IN SL,LF,50.7,35.49,,,,
C00381.000B,ALUM THRESHOLD TH4 DARK BRONZE 216 IN SL,LF,89.1,62.37,,,,
C00383.000A,ALUM TUBE 2 X 1.75 X .125 - CLEAR 288 IN,LF,27.0,18.9,,,,
C00383.000B,ALUM TUBE 2X1.75X.125 BRONZE 288 IN,LF,47.6,33.32,,,,
C00385.00RA,ALUM FACEPLATE 6 IN HDR - CLEAR 288 IN,LF,36.5,25.55,,,,
C00385.00RB,ALUM FACEPLATE 6 IN. HDR BRONZE 288 IN,LF,42.8,29.96,,,,
C00386.001A,ALUM ADPT C330 - CLEAR 288 IN,LF,22.3,15.61,,,,
C00386.001A60,ALUMINUM ADAPTER FOR C00330 CLEAR FINISH - COMMONLY FOUND IN THR EA,,111.0,77.7,,,,
C00386.001B,ALUM ADPT C330 BRONZE 288 IN,LF,22.3,15.61,,,,
C00386.001B60,ALUMINUM ADAPTER FOR C00330 DARK BRONZE FINISH - COMMONLY FOUN,EA,113.0,79.1,,,,
C00388.002A,ALUM JAMB DBL POCKET - CLEAR 288 IN,LF,74.8,52.36,,,,
C00388.002B,ALUM JAMB DBL POCKET BRONZE 288 IN,LF,76.1,53.27,,,,
C00389.0001,MOHAIR W/S INTRLK VERT AMESBURY P/N 46027045BKWP,LF,4.8,3.36,,,,
